,Product link,Product name,Product Model,Product Type,Product price,Product police number,Product police number type,Product Mileage,Production year,Product post location,Product color,Product fuel type,Product Transmission
130,https://toyotatrust.astra.co.id/HONDA-CRV-ALL-NEW-CRV-2.0-AT-AT-2017-2987,HONDA CRV ALL NEW CRV 2.0 AT AT 2017,CRV,ALL NEW CRV 2.0 AT,Rp 300.000.000,E 1232 CE,even,51295,2017,Bintaro,WHITE,GASOLINE,AT
131,https://toyotatrust.astra.co.id/HONDA-CRV-ALL-NEW-CRV-1.5-TURBO-PRESTIGE-AT-AT-2018-4584,HONDA CRV ALL NEW CRV 1.5 TURBO PRESTIGE AT AT 2018,CRV,ALL NEW CRV 1.5 TURBO PRESTIGE AT,Rp 445.000.000,F 1883 RK,odd,58756,2018,Cibinong,BLACK,GASOLINE,AT
132,https://toyotatrust.astra.co.id/HONDA-CITY-CITY--IVTEC-1.5-E-CVT-(ALL-NEW)-AT-2019-4249,HONDA CITY CITY  IVTEC 1.5 E CVT (ALL NEW) AT 2019,CITY,CITY  IVTEC 1.5 E CVT (ALL NEW),Rp 280.000.000,B 1113 JDY,odd,17258,2019,Bintaro,BLACK,GASOLINE,AT
133,https://toyotatrust.astra.co.id/HONDA-BRV-BR-V-E-MT-MT-2017-4341,HONDA BRV BR V E MT MT 2017,BRV,BR-V E MT,Rp 175.000.000,D 1158 AGL,even,38742,2017,SH,WHITE,GASOLINE,MT
134,https://toyotatrust.astra.co.id/HONDA-BRV-BR-V-E-MT-MT-2017-3629,HONDA BRV BR V E MT MT 2017,BRV,BR-V E MT,Rp 173.000.000,BK 1794 EF,even,78553,2017,Medan,BLACK,GASOLINE,MT
135,https://toyotatrust.astra.co.id/HONDA-BRV-BR-V-E-MT-MT-2017-4253,HONDA BRV BR V E MT MT 2017,BRV,BR-V E MT,Rp 185.000.000,B 2527 TOW,odd,64377,2017,Kalimalang,BLACK,,MT
136,https://toyotatrust.astra.co.id/HONDA-BRV-BR-V-E-AT-PRESTIGE-AT-2017-4670,HONDA BRV BR V E AT PRESTIGE AT 2017,BRV,BR-V E AT PRESTIGE,Rp 189.800.000,W 1579 YZ,odd,155196,2017,Surabaya,WHITE,GASOLINE,AT
137,https://toyotatrust.astra.co.id/HONDA-BRV-BR-V-E-AT-AT-2019-4201,HONDA BRV BR V E AT AT 2019,BRV,BR-V E AT,Rp 216.700.000,W 1088 QN,even,54073,2019,Surabaya,WHITE,GASOLINE,AT
138,https://toyotatrust.astra.co.id/HONDA-BRV-BR-V-E-AT-AT-2016-4511,HONDA BRV BR V E AT AT 2016,BRV,BR-V E AT,Rp 180.000.000,B 2051 SON,odd,37712,2016,Kalimalang,WHITE,,AT
139,https://toyotatrust.astra.co.id/HONDA-BRIO-BRIO-SATYA-E-1.2-MT-MT-2017-4786,HONDA BRIO BRIO SATYA E 1.2 MT MT 2017,BRIO,BRIO SATYA E 1.2 MT,Rp 138.500.000,L 1615 AAI,odd,52525,2017,Surabaya,WHITE,GASOLINE,MT
140,https://toyotatrust.astra.co.id/HONDA-BRIO-BRIO-SATYA-E-1.2-MT-(ALL-NEW)-MT-2019-4314,HONDA BRIO BRIO SATYA E 1.2 MT (ALL NEW) MT 2019,BRIO,BRIO SATYA E 1.2 MT (ALL NEW),Rp 154.200.000,L 1510 VY,even,46375,2019,Surabaya,BLACK,GASOLINE,MT
141,https://toyotatrust.astra.co.id/HONDA-BRIO-BRIO-RS-1.2-MT-MT-2016-4060,HONDA BRIO BRIO RS 1.2 MT MT 2016,BRIO,BRIO RS 1.2 MT,Rp 132.000.000,D 1336 UAG,even,73405,2016,SH,RED,,MT
